 	Наименование колледжей	Контингент	в том числе кол-во			Новый набор	
			бюджетные	платные			
	07130700 – «Техническое обслуживание, ремонт и эксплуатация электромеханического оборудования (по видам и отраслям)»	43	41	2		11	
	07150500 – «Сварочное дело (по видам)»	54	53	1		9	
	07161300 – «Техническое обслуживание, ремонт и эксплуатация автомобильного транспорта»	22	20	2			
	07160600 – «Эксплуатация, ремонт и техническое обслуживание вагонов и рефрижераторного подвижного состава железных дорог»	44	42	2		22	
	07221400 – «Мебельное производство»	14	12	2			
	07160500 - «Эксплуатация, ремонт и техническое обслуживание тягового подвижного состава железных дорог»	42	22	20			
	07320100 Строительство и эксплуатация зданий и сооружений	1	0	1			
12	КГП на ПХВ «Государственный высший медицинский колледж имени Д.Калматаева», в том числе	1827	1502	325		400	
	09110100 – «Стоматология»	209	158	51		43	
	09120100 – «Лечебное дело»	749	655	94		168	
	09130100 – «Сестринское дело»	685	511	174		141	
	09140100 – «Лабораторная диагностика»	135	130	5		23	
	09130200 - Акушерское дело	13	13	0		13	
	09160100 – «Фармация»	36	35	1		12	
13	КГУ «Абайский колледж», в том числе	131	131	0		75	
	07150100 – «Технологоия машиностроения (по видам)»	15	15	0		15	
	07150500 – «Сварочное дело»	47	47	0		15	
	07161600 – «Механизация сельского хозяйства»	27	27	0		15	
	07320100 – «Строительство и эксплуатация зданий и сооружений»	12	12	0			
	08410100 – «Ветеринария»	15	15	0		15	
	10150100 – «Туризм»	15	15	0		15	
14	КГУ «Колледж Ақсуат», в том числе	264	264	0		140	
	07161600 – «Механизация сельского хозяйства»	83	83	0		40	
	07230100 – «Швейное производства и моделирование одежды»	73	73	0		40	
	08410100 – «Ветеринария»	20	20	0		20	
	10130300 – «Организация питания»	88	88	0		40	
15	КГУ «Бескарагайский колледж», в том числе	133	133	0		61	
	07161300 – «Техническое обслуживание, ремонт и эксплуатация автомобильного транспорта»	7	7	0			
	07161600 – «Механизация сельского хозяйства»	24	23	0			
	07161300 – «Техническое обслуживание, ремонт и эксплуатация автомобильного транспорта»	15	15	0		15	
	08210100 – «Лесное хозяйство»	56	56	0		31	
	10130300 – «Организация питания»	31	31	0		15	
16	КГУ «Бородулихинский колледж», в том числе	171	171	0		60	
	07150500 – «Сварочное дело»	46	46	0		15	
	07161600 – «Механизация сельского хозяйства»	46	46	0		15	
	08210100 – «Лесное хозяйство»	32	32	0		15	
	10130300 – «Организация питания»	47	47	0		15	
17	КГУ «Жарминский технологический колледж», в том числе	159	159	0		91	
	07161600 – «Механизация сельского хозяйства»	52	52	0		15	
	07230100 – «Швейное производства и моделирование одежды»	46	46	0		45	
	08410100 – «Ветеринария»	11	11	0			
	10130300 – «Организация питания»	50	50	0		31	
18	КГУ «Урджарский колледж», в том числе	167	167	0		100	
	07150500 – «Сварочное дело»	20	20	0		20	
	07161600 – «Механизация сельского хозяйства»	67	67	0		30	
	08410100 – «Ветеринария»	20	20	0		20	
	10130300 – «Организация питания»	60	60	0		30	
19	Учреждение «Высший колледж гражданской защиты», в том числе	316	22	268		22	
	0420100 – «Правоведение»	24	0	24			
	10320100 – «Пожарная безопасность»	75	4	75		4	
	10320200 – «Защита в чрезвычайных ситуациях (по профилю)»	160	15	160		15	
